Reference,Habitat.Type,Management.Method,Management.Intensity,Duration.of.treatment..years.,Years.since.Treatment..if.applicable.,Significant.,Alpha,Management.Effect.Type,Ecosystem.element.assessed..soil.plant.microbe.fungi.fauna.,Endpoint,Measurement.Unit,Endpoint.Modifier,Magnitude.or.degree.of.change,Magnitude.or.degree.of.change..text.,Response..Measurement,Response.Number.of.Observations,Response.Standard.Deviation,Control.Reference.Measurement,Control.Number.of.Observations,Control.Standard.Deviation,general.area,Location
Ares et al 2010,Coniferous Forest,Thinning,Thinning to  300 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,bare soil,-30.77%,Decrease,0.9,84,0.9,1.3,56,0.5,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,bare soil,-15.38%,Decrease,1.1,72,0.2,1.3,56,0.5,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,bare soil,-53.85%,Decrease,0.6,24,0.9,1.3,56,0.5,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,bare soil,-7.69%,Decrease,1.2,28,0.9,1.3,56,0.5,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,bare soil,-15.38%,Decrease,1.1,16,0.9,1.3,56,0.5,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to  300 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,duff,16.67%,Increase,4.2,84,1.1,3.6,56,1.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,duff,-19.44%,Decrease,2.9,72,0.7,3.6,56,1.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,Y,0.05,community composition,Ground cover,cover,%,duff,-41.67%,Decrease,2.1,24,0.9,3.6,56,1.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,Y,0.05,community composition,Ground cover,cover,%,duff,-30.56%,Decrease,2.5,28,1.3,3.6,56,1.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,Y,0.05,community composition,Ground cover,cover,%,duff,-38.89%,Decrease,2.2,16,0.6,3.6,56,1.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to  300 trees/ha,,11,Y,0.05,community composition,Ground cover,cover,%,litter,-41.92%,Decrease,37,84,3.7,63.7,56,10,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,litter,-28.10%,Decrease,45.8,72,1.9,63.7,56,10,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,litter,-28.10%,Decrease,45.8,24,9.7,63.7,56,10,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,Y,0.05,community composition,Ground cover,cover,%,litter,-43.01%,Decrease,36.3,28,6.2,63.7,56,10,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,Y,0.05,community composition,Ground cover,cover,%,litter,-70.64%,Decrease,18.7,16,8.1,63.7,56,10,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to  300 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,downed wood,-30.77%,Decrease,0.9,84,0.5,1.3,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,downed wood,-15.38%,Decrease,1.1,72,0.9,1.3,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,downed wood,-53.85%,Decrease,0.6,24,0.2,1.3,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,downed wood,-7.69%,Decrease,1.2,28,0.9,1.3,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,downed wood,-15.38%,Decrease,1.1,16,0.9,1.3,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,cover,%,moss,-23.63%,Decrease,18.1,84,3.6,23.7,56,6.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Plant,cover,%,moss,-36.29%,Decrease,15.1,72,1.6,23.7,56,6.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,cover,%,moss,-5.91%,Decrease,22.3,24,8.2,23.7,56,6.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,N,0.05,community composition,Plant,cover,%,moss,-35.86%,Decrease,15.2,28,4.7,23.7,56,6.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,Y,0.05,community composition,Plant,cover,%,moss,-70.04%,Decrease,7.1,16,3.3,23.7,56,6.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 300 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,rocks,-85.71%,Decrease,0.1,84,0.1,0.7,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,rocks,28.57%,Increase,0.9,72,1.4,0.7,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to 300 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,rocks,-71.43%,Decrease,0.2,24,0.1,0.7,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable density 200 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,rocks,-100.00%,Decrease,0,28,0.1,0.7,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Ground cover,cover,%,rocks,-57.14%,Decrease,0.3,16,0.5,0.7,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,cover,%,,23.87%,Increase,63.3,84,11.9,51.1,56,19.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Plant,cover,%,,54.99%,Increase,79.2,72,15.8,51.1,56,19.2,PNW,Oregon
