NP,Name,Size,Revenue,Mission,Environment protection,Conservation,Biodiversity,Environmental preservation,Environmental restoration,Sustainability,Ecosystem services,Local,Global,Sustainable development goals,Education,Activism,Mean,Std
1,The Conservation Fund,Large,$221.5M,"The Conservation Fund, working with public, private and nonprofit partners, protects America's legacy of land and water resources through land acquisition, sustainable community and economic development, and leadership training, emphasizing the integration of economic and environmental goals.",0.962,0.974,0.099,0.938,0.688,0.278,0.311,0.039,0.01,0.93,0.001,0.018,0.44,0.42
2,National Audubon Society,Large,$157.4M,"The mission of the National Audubon Society is to conserve and restore natural ecosystems, focusing on birds, other wildlife, and their habitats for the benefit of humanity and the Earth's biological diversity. Our national network of community-based nature centers and chapters, scientific and educational programs, and advocacy on behalf of areas sustaining important bird populations engage millions of people of all ages and backgrounds in positive conservation experiences. Audubon is making progress protecting habitat on-the-ground, while its public policy office in Washington, D.C. connects Audubon with Congress, the executive branch, courts, and mass media to ensure our great natural heritage endures for generations.",0.768,0.917,0.911,0.796,0.833,0.615,0.684,0.344,0.404,0.361,0.673,0.642,0.66,0.20
3,Sierra Club Foundation,Large,$120.5M,"The Sierra Club Foundation promotes climate solutions, conservation, and movement building through a powerful combination of strategic philanthropy and grassroots advocacy. We partner with individual and institutional donors to align financial resources with strategic outcomes, provide flexible funding for innovation, build capacity in the environmental movement, and create partnerships with a broad spectrum of allied organizations around shared values and goals. As the fiscal sponsor of the charitable programs of the Sierra Club, we provide resources to it and other nonprofit organizations to support scientific, educational, literary, organizing, advocacy, and legal programs that further our goals.",0.919,0.893,0.345,0.755,0.297,0.76,0.357,0.144,0.214,0.674,0.283,0.534,0.51,0.28
4,The Wetlands Initiative,Small,$2M,"The Wetlands Initiative (TWI) designs, restores, and creates wetlands. We innovate, collaborate, and employ sound science to improve water quality, habitat for plants and wildlife, and our climate.",0.974,0.836,0.54,0.97,0.983,0.763,0.732,0.022,0.377,0.212,0,0.71,0.59,0.36
5,The Conservation Foundation,Small,$4.1M,"Established in 1972 by business and community leaders, The Conservation Foundation is a land and watershed protection organization. Our headquarters are located in Naperville, Illinois, on a 60-acre working farm, and a program office is located in Montgomery, Illinois. The mission of the Foundation is to preserve open space and natural lands, protect rivers and watersheds, and promote stewardship of our environment. The Foundation maintains a support base of over 4,500 members and donors, and 500 volunteers in DuPage, Kane, Kendall and Will Counties, Illinois. Although we work throughout Northeastern Illinois, these are the counties in which we focus our efforts.",0.983,0.976,0.551,0.979,0.814,0.66,0.683,0.785,0.111,0.618,0.093,0.597,0.65,0.30
6,Living Lands & Water,Small,$1.7M,"Founded in 1998, Living Lands and Waters works to aid in the protection, preservation and restoration of the natural environment of the nation's major rivers and their watersheds. Living Lands and Waters expands awareness of environmental issues and responsibility encompassing the river and creates a desire and an opportunity for stewardship and responsibility for a cleaner river environment. Programs that Living Lands and Waters conducts are: Community Cleanups, Big River Educational Workshops, Riverbottom Forest Restoration and Adopt-a-River Mile.",0.965,0.715,0.427,0.954,0.964,0.664,0.574,0.466,0.339,0.459,0.936,0.87,0.69,0.24
7,Coral Restoration Foundation,Small,$3.1M,"Coral Restoration Foundation's core mission is to restore coral reefs, to educate others on the importance of our oceans, and to use science to further coral research and coral reef monitoring techniques. We are the world's largest non-profit marine-conservation organization dedicated to restoring coral reefs to a healthy state, in Florida and globally. We work to support the reefs' natural recovery processes through the large-scale cultivation, outplanting, and monitoring of genetically diverse, reef-building corals. We engage and empower others in the mission to save our planet's coral reef with dive programs, educational activities, scientific collaborations, and outreach.",0.626,0.727,0.437,0.733,0.781,0.5,0.355,0.335,0.797,0.495,0.885,0.633,0.61,0.18
8,Alliance for the Great Lakes,Small,$3.4M,"To protect, conserve, and restore the Great Lakes, ensuring healthy water in the lakes and in our communities for all generations of people and wildlife. We advance our mission as advocates for policies that support the lakes and communities, by building the research, analysis, and partnerships that motivate action, and by educating and uniting people as a voice for the Great Lakes",0.631,0.773,0.426,0.73,0.733,0.711,0.539,0.399,0.421,0.232,0.893,0.867,0.61,0.21
9,The Alliance Center,Small,$2.72M,"The Alliance Center brings people together to create a world where our communities are inclusive, our democracy is strong, our economy thrives and our planet is healthy.",0.591,0.209,0.367,0.576,0.537,0.8,0.52,0.01,0.409,0.813,0.029,0.907,0.48,0.29
10,Audubon of Western Pennsylvania,Small,$1.36M,"The Audubon Society of Western Pennsylvania has been connecting people to birds and nature since 1916. They have three public properties: Beechwood Farms Nature Reserve (Fox Chapel), Succop Nature Park (Butler), and Todd Nature Reserve (Sarver) and offer programs for people of all ages and encourage our visitors to connect with nature in a way that will motivate them to become active and engaged in our natural world.",0.179,0.291,0.379,0.089,0.041,0.168,0.207,0.415,0.021,0.06,0.921,0.374,0.26,0.25
11,Captain Planet Foundation,Small,$1.25M,"The Captain Planet Foundation works collaboratively to engage and empower young people to be ChangeMakers for the planet. For 30 years, we have been activating generations of environmentally literate citizens empowered to protect and sustain the natural systems upon which all life depends. CPF is both a grant-making foundation and a programmatic foundation. Through its small grant program, it has funded over 2,700 hands-on environmental education projects with schools and non-profits that serve children in all 50 U.S. states and in 35 countries internationally. More than 1.6 million children have directly participated in and benefited from these educational projects. In addition to providing small grants, CPF operates the following programs: Project Learning Garden (providing schools with onsite learning laboratories and healthy food access); Project Hero (a web-based and project-based learning platform for students to save locally threatened species & ecosystems); and Changemakers.",0.961,0.651,0.568,0.911,0.695,0.72,0.676,0.423,0.613,0.7,0.871,0.57,0.70,0.15
12,The Adirondack Council,Small,$2.5M,"The Adirondack Council is an environmental group that has been working since 1975 to protect the open-space resources of New York State's six-million-acre Adirondack Park and to help sustain the natural and human communities of the region. The Council is the largest citizen environmental group in New York State working full-time, on a daily basis in the Adirondack Park, in the state capital and in Washington to preserve this six-million-acre treasure. The Council's protection efforts include: advocacy and lobbying for land use planning and land protection; research issues that affect the ecology and economy of the Park; public education through media and schools; environmental monitoring on the local, state, and national levels; and litigation, when necessary.",0.972,0.826,0.644,0.981,0.291,0.913,0.725,0.642,0.233,0.6,0.416,0.858,0.68,0.25
13,Alaska Conservation Foundation,Small,$3.5M,"Alaska Conservation Foundation protects the health, resilience, and connectivity of Alaska's communities and landscapes by defending Alaska's public lands and waters and by building resilience to climate change. We support grassroots advocacy, lead climate change adaptation efforts, and strengthen Alaska's conservation movement. By continuously monitoring complex economic, political, and cultural landscapes across the state, we identify opportunities and prioritize where to direct funds to achieve meaningful conservation success. Since 1980, Alaska Conservation Foundation has awarded more than $50 million in grants, sustaining a network of organizations working to craft solutions to Alaska's most pressing conservation challenges. As a result, Alaska's conservation movement continues to build strong communities and sustainable economies supported by a healthy environment. ",0.864,0.925,0.51,0.683,0.434,0.789,0.646,0.595,0.234,0.651,0.206,0.378,0.58,0.23
14,Wild Earth Allies,Small,$2M,"Wild Earth Allies collaborates with a wide network of partners to protect wildlife and habitats in culturally appropriate ways. Our mission is to protect vital areas of our natural world for the benefit of wildlife, habitats, and people by inspiring collaborative action. We operate with best practices, a lean structure, and a commitment to optimism, cultural respect, shared learning and integrity. We envision a world where wildlife flourishes in healthy ecosystems that sustain us all.",0.897,0.572,0.821,0.763,0.467,0.622,0.705,0.495,0.52,0.337,0.399,0.566,0.60,0.17
15,Wildlands Network,Small,$2.1M,"Since 1991, Wildlands Network has been committed to reconnecting, restoring and rewilding North America for the benefit of all species. Our work is founded in science, driven by fieldworkand furthered through strategic policy and partnerships. We envision a North America where
nature is undivided, and where people coexist in harmony with our native plants and animals.",0.478,0.402,0.643,0.567,0.843,0.219,0.354,0.342,0.105,0.169,0.011,0.139,0.36,0.25
16,New Mexico Wilderness Alliance,Small,$2.0M,"The New Mexico Wilderness Alliance, also known as New Mexico Wild, is a grassroots environmental organization dedicated to the protection, restoration, and continued enjoyment of New Mexico's wildlands and wilderness areas. The primary goal of the New Mexico Wilderness Alliance is to ensure the protection and restoration of all remaining wild lands in New Mexico through administrative designations, federal wilderness designation, and wilderness education. ",0.977,0.788,0.656,0.984,0.971,0.573,0.576,0.611,0.077,0.15,0.91,0.831,0.68,0.31
17,North Carolina Conservation Network,Small,$2.86M,"North Carolina Conservation Network supports, trains, and coordinates diverse groups and directly advocates to achieve equitable and sustainable solutions for our environment. We are a statewide network of over 60 environmental, community, and environmental justice organizations focused on protecting North Carolina's environment and public health. Our vision is for diverse groups to engage in environmental policy decision-making at all levels of government – creating a North Carolina committed to improving and protecting the state's vast natural resources, fostering environmental justice, and ensuring healthy, sustainable communities with a high quality of life.",0.956,0.979,0.443,0.763,0.536,0.789,0.605,0.236,0.02,0.734,0.024,0.823,0.58,0.33
18,Environmental Defense Center,Small,$1.94M,"The Environmental Defense Center (EDC) protects and enhances the local environment through education, advocacy, and legal action. Since 1977 they have empowered community based organizations to advance environmental protection. Their program areas include protecting coast and ocean resources, open spaces and wildlife, and human and environmental health. EDC provides legal counsel to other nonprofit organizations. They remain the only such public interest environmental law firm between Los Angeles and San Francisco, and thrive on the support of community members from within their region and beyond.",0.991,0.432,0.397,0.93,0.341,0.258,0.392,0.904,0.017,0.352,0.824,0.666,0.54,0.31
19,The Arbor Day Foundation,Large,$84M,"Founded in 1972, The Arbor Day Foundation inspires people to plant, nurture and celebrate trees. We envision a world where trees and forests are abundant, healthy, and sustainable, and highly valued by all people. Through mass-media communications, by providing low-cost trees for planting, and by producing high-quality, easy-to-use educational materials, we work to make tree planting and care something in which nearly everyone can be involved. We also create mechanisms through which the average individual can directly support positive tree conservation and education projects. It is our constant goal to expand a person's desire to plant a tree into a lifelong enthusiasm for tree planting and care, and for positive involvement in conservation issues relating to trees.",0.677,0.897,0.698,0.63,0.427,0.877,0.627,0.484,0.553,0.919,0.894,0.618,0.69,0.17
20,Central Park Conservancy,Large,$64.7M,"The mission of the Central Park Conservancy is to preserve and celebrate Central Park as a sanctuary from the pace and pressures of city life, enhancing the enjoyment and wellbeing of all.",0.455,0.948,0.027,0.088,0.062,0.246,0.07,0.04,0.024,0.042,0.005,0.46,0.21,0.28
